300.1213	11.65453	941.1514	14084.93
300.2714	10.76587	704.1349	12569.4
300.4216	9.944973	647.3714	12360.37
300.5719	9.186669	595.1839	12522.57
300.7222	8.486185	547.2035	12359.44
300.8726	7.839113	503.091	11815.28
301.0231	7.24138	462.5346	11246.88
301.1736	6.689225	425.2476	10988.1
301.3243	6.179171	390.9665	11140.57
301.475	5.708009	359.4489	11584.21
301.6257	5.272773	330.4721	12142.78
301.7766	4.870724	303.8313	12806.71
301.9275	4.499331	279.3381	13605.75
302.0785	4.156257	256.8194	14238.46
302.2296	3.839342	236.116	14280.46
302.3808	3.546592	217.0817	13853.55
302.532	3.276164	244.4123	13619.37
302.6833	3.026357	299.552	13960.96
302.8347	2.795597	349.7129	14424.93
302.9862	2.582433	357.5746	14142.96
303.1377	2.385522	312.212	12799.41
303.2893	2.203626	243.1265	10962.92
303.441	2.035599	151.4212	9375.338
303.5928	1.880385	156.9076	8259.702
303.7446	1.737005	162.5929	7469.246
303.8965	1.604559	168.4841	6948.964
304.0485	1.482211	174.5889	6759.229
304.2006	1.369192	180.9148	6747.032
304.3527	1.264791	187.4699	6499.139
304.505	1.168351	194.2625	5787.632
304.6572	1.079264	201.3013	4909.034
304.8096	0.9969702	208.5951	4382.906
304.9621	0.9209512	216.1531	4407.716
305.1146	0.8507287	223.9851	4762.453
305.2672	0.7858606	232.1007	5157.799
305.4199	0.7259387	240.5105	5524.733
305.5726	0.6705858	249.225	5934.364
305.7255	0.6194536	258.2552	6343.937
305.8784	0.5722203	267.6126	6612.001
306.0313	0.5285884	277.309	6830.633
306.1844	0.4882836	287.3568	7453.581
306.3375	0.4510519	297.7687	8923.564
306.4908	0.4166592	308.5578	11158
306.644	0.3848889	319.7378	13456.44
306.7974	0.3555411	331.323	15199.77
306.9509	0.3284311	343.3278	16726.28
307.1044	0.3033882	429.8641	19080.62
307.258	6.42552	1245.703	22817.6
307.4116	14.06472	2152.578	27594.29
307.5654	24.37705	3145.733	32801.58
307.7192	34.13136	3771.887	37386.6
307.8731	39.76907	3753.703	39030.1
308.0271	39.57736	3219.133	35688.61
308.1812	34.03995	2531.264	28728.51
308.3353	25.08222	1942.409	22576.97
308.4895	15.44296	1468.688	20722.63
308.6438	7.778805	1048.898	22920.78
308.7982	3.305742	695.4238	25705.88
308.9526	1.453011	461.4832	25403.75
309.1071	0.9605502	370.4139	21483.31
309.2617	0.9254947	297.3163	16826.07
309.4164	1.214905	365.1703	14771.76
309.5712	1.50699	593.6635	16769.3
309.726	1.869297	879.7006	22402.23
309.8809	2.318708	1245.313	30365.32
310.0359	4.111931	1619.039	38832.72
310.1909	6.872741	1896.466	45343.23
310.3461	9.833032	2021.846	48366.15
310.5013	12.14753	2088.433	49707.53
310.6566	6.809037	2258.984	53059.58
310.812	8.44605	2607.029	60089.3
310.9674	16.54729	3141.702	70067.56
311.1229	19.2292	3877.369	81731.04
311.2785	23.78447	4808.07	94161.84
311.4342	33.28899	6022.798	108950.4
311.59	53.81656	7878.177	131928.6
311.7458	88.72005	10595.54	166613.7
311.9017	127.0594	13374.58	202694.6
312.0577	144.6097	14548.78	219886.1
312.2138	128.2112	13329.41	209870
312.37	92.42256	10773.82	185263.4
312.5262	61.51699	8495.698	163227.6
312.6825	45.08781	7170.67	150053.7
312.8389	37.88443	6463.675	140866.1
312.9954	32.59767	5702.839	126580.6
313.1519	26.81748	4582.911	103932.5
313.3085	21.79966	3405.291	79851.19
313.4652	18.82773	2612.639	63239.02
313.622	17.76376	2342.29	57166.91
313.7789	18.0107	2548.308	61332.06
313.9358	19.19312	3158.936	74407.05
314.0928	20.72291	3903.766	90139.22
314.2499	21.50911	4273.604	97274.95
314.4071	20.86642	3929.524	88834.74
314.5643	19.33991	3050.958	69227.95
314.7216	9.24908	2118.594	48960.58
314.879	7.336239	1460.112	34798.51
315.0365	5.819001	1110.821	27195.57
315.1941	4.615549	840.3936	23763.17
315.3517	12.25705	818.1452	22301.3
315.5095	2.903844	867.0234	21671.04
315.6673	2.303288	819.4927	21629.9
315.8251	1.826935	759.5628	22329.59
315.9831	1.449099	703.5666	23757.22
316.1411	1.149405	715.4325	25338.1
316.2992	0.9116916	696.4923	26174.86
316.4574	0.7231409	678.0536	26000.33
316.6157	0.5735851	900.8535	25546.17
316.7741	0.5120263	1168.586	25344.27
316.9325	0.5462362	1472.216	24721.39
317.091	0.5827318	1695.315	22965.24
317.2496	0.6216658	1101.721	20557.1
317.4083	0.6632011	1592.358	18251.76
317.567	0.7075114	1255.972	16049.3
317.7259	0.7547823	839.2042	13713.99
317.8848	0.8052114	481.6998	11449.43
318.0437	0.8590099	238.6767	8030.541
318.2028	0.9164028	175.7752	8395.719
318.362	0.9776303	132.3007	7557.177
318.5212	1.042949	137.6179	7180.856
